HeatEnergyi	EnergyUseLight	ElUseDehumidifieri	Tghi	Tgh_naturali	RHghi	CO2airi	Tcovi	Tscreeni	VentVindui	Leakage_heati	Leakage_humi	alphawindi	alphaleei	DWyield	FWyield	NumberPlantsi	Tcropi	VPDcrop_airi	LEi	Rni	Bni	Pnci	radiIni	spTheat	spTvent	spRHghi	H2O_dehumi	Dewi	CO2supplyi
149.3424349	99	99	18.05630699	99	65.86326177	99	4.020326309	13.47688931	0.1393903396	99	99	1.976847089e-14	1.840292615e-23	99	99	99	99	99	99	99	99	99	60.14412159	18	20	80	99	99	99
149.3773604	99	99	18.03745428	99	66.09321761	99	4.0288977	13.47454967	0.1378869601	99	99	1.464484343e-14	1.116193894e-23	99	99	99	99	99	99	99	99	99	63.62665469	18	20	80	99	99	99
149.4108834	99	99	18.04640048	99	66.21706774	99	4.039137617	13.47612745	0.1363835613	99	99	1.084916685e-14	6.770058189e-24	99	99	99	99	99	99	99	99	99	67.14102085	18	20	80	99	99	99
149.4430817	99	99	18.04148333	99	66.39879915	99	4.050610838	13.48060081	0.1348799272	99	99	8.037260484e-15	4.106247859e-24	99	99	99	99	99	99	99	99	99	70.68048797	18	20	80	99	99	99
149.4739025	99	99	18.0445712	99	66.5520534	99	4.061717975	13.48421467	0.1333759794	99	99	5.954149011e-15	2.490565223e-24	99	99	99	99	99	99	99	99	99	74.17523846	18	20	80	99	99	99
149.5033753	99	99	18.0428058	99	66.7275595	99	4.07275414	13.48766189	0.1318716892	99	99	4.410942076e-15	1.510604168e-24	99	99	99	99	99	99	99	99	99	77.67456318	18	20	80	99	99	99
149.531566	99	99	18.04437691	99	66.89263224	99	4.097946432	13.49626554	0.1312447874	99	99	3.26770626e-15	9.162277425e-25	99	99	99	99	99	99	99	99	99	80.64483643	18	20	80	99	99	99
149.5592216	99	99	18.0136331	99	67.18679517	99	4.160404446	13.50812348	0.1332506137	99	99	2.420776337e-15	5.557202171e-25	99	99	99	99	99	99	99	99	99	81.97883656	18	20	80	99	99	99
149.5862546	99	99	18.02253769	99	67.32278495	99	4.221665197	13.51717046	0.1352558029	99	99	1.793355219e-15	3.370613499e-25	99	99	99	99	99	99	99	99	99	83.29464968	18	20	80	99	99	99
149.6127496	99	99	18.01575727	99	67.52275041	99	4.290151282	13.54318127	0.1372603546	99	99	1.328550222e-15	2.044380429e-25	99	99	99	99	99	99	99	99	99	84.60748834	18	20	80	99	99	99
149.6386539	99	99	18.01974409	99	67.68024755	99	4.355672247	13.56223049	0.139264269	99	99	9.842142118e-16	1.23997941e-25	99	99	99	99	99	99	99	99	99	85.92570137	18	20	80	99	99	99
149.6639941	99	99	18.01754326	99	67.86367129	99	4.423004261	13.58553174	0.1412675462	99	99	7.291238212e-16	7.520855298e-26	99	99	99	99	99	99	99	99	99	87.24910996	18	20	80	99	99	99
149.6888487	99	99	18.01760017	99	68.03791065	99	4.479646299	13.60339058	0.142018586	99	99	5.401482118e-16	4.561629326e-26	99	99	99	99	99	99	99	99	99	87.69983227	18	20	80	99	99	99
149.7136541	99	99	17.99969951	99	68.28018321	99	4.504361915	13.60525913	0.1390137897	99	99	4.001516372e-16	2.766768044e-26	99	99	99	99	99	99	99	99	99	86.20996448	18	20	80	99	99	99
149.7383576	99	99	18.00466435	99	68.42458864	99	4.529516304	13.60815784	0.1360075594	99	99	2.964396239e-16	1.678129647e-26	99	99	99	99	99	99	99	99	99	84.72699514	18	20	80	99	99	99
149.7630227	99	99	18.00048513	99	68.6017958	99	4.557938837	13.61872959	0.1329998945	99	99	2.196078747e-16	1.017837082e-26	99	99	99	99	99	99	99	99	99	83.25109421	18	20	80	99	99	99
149.787631	99	99	18.002298	99	68.75006677	99	4.585127017	13.62640329	0.1299907944	99	99	1.62689515e-16	6.173493968e-27	99	99	99	99	99	99	99	99	99	81.76381401	18	20	80	99	99	99
