0	18.4	37.8
1	20	36.1
2	21.1	36.1
3	18.8	35.4
4	18.9	38.3
5	19.1	36.6
6	18.1	34.4
7	16.4	35.6
8	19.3	33.4
9	19.2	30.8
10	17.6	26.8
11	17.1	25.5
12	12	27.7
13	17.1	33.6
14	17.2	33.4
15	17.5	34.6
16	16.4	33.4
17	15.5	34.1
18	15.2	38.4
19	18.2	41.1
20	18.6	43
21	18.7	42.3
22	19.9	43.5
23	20.1	41.5
24	21	42
25	21.6	42.5
26	21.4	41.6
27	21	41.5
28	21.2	40.4
29	22.6	40.3
30	22.6	37.8
31	24.2	40.4
32	22.3	40
33	18.5	40.3
34	21.1	40.8
35	21.2	41.6
36	21.3	42.6
37	24.3	42.4
38	24.6	40.2
39	19	37.1
40	18.4	38.9
41	18.2	39
42	17.6	38.9
43	21	36
44	19.7	34.6
45	16.6	35.7
46	16.8	40.7
47	28.2	41.5
48	24.7	43.8
49	25.2	42.6
50	27.7	40.9
51	27.4	41.9
52	30.2	42.7
53	28.5	42.9
54	28.1	40.9
55	30.3	40.5
56	24.3	34.2
57	27.1	38
58	28.2	39.6
59	26.6	40.1
60	27.8	39.8
61	24.3	38.2
62	23.1	35
63	26.2	37
64	23.2	39.5
65	24	40.9
66	22.4	42.1
67	24.4	40.8
68	24.4	41.4
69	27.2	42.3
70	25.4	41.5
71	27	41.3
72	23	41.3
73	23.3	38.2
74	24.9	40.9
75	26	40.7
76	26.4	42.1
77	27.6	44.8
78	26.3	45
79	26.8	39.2
80	26.8	38.3
81	27.6	39.3
82	24.9	38.4
83	21.5	38.5
84	21.4	39.1
85	21.4	41.9
86	24.9	42.9
87	26.3	39.5
88	25.9	41.5
89	28	43.7
90	27.5	44.6
91	26.4	42.2
92	25.8	41.1
93	23.2	39.8
94	24.5	41.6
95	25.4	38.7
96	24.7	38.4
97	22.8	38
98	25.9	39.4
99	27.1	41
100	27	41.3
