date	smax	smin	smean	T
02/01/2009  	-0.004861984	22.32735    	14.552349   	 4.914458   
03/01/2009  	-0.003616813	20.72039    	12.866066   	 6.787191   
04/01/2009  	-0.009419115	20.52528    	 6.732742   	10.614660   
05/01/2009  	-0.009674491	15.82965    	 6.708787   	10.273906   
06/01/2009  	-0.008929661	16.73582    	10.029165   	 8.115091   
07/01/2009  	13.656620979	16.08652    	15.482765   	 3.604724   
08/01/2009  	16.069307327	18.34521    	17.167936   	 2.685407   
09/01/2009  	-0.008770541	18.10264    	11.218835   	 6.906657   
10/01/2009  	12.120114326	18.05682    	16.282570   	 3.214715   
11/01/2009  	16.475532532	19.21869    	17.686510   	 2.112191   
12/01/2009  	17.704782486	21.61370    	19.496329   	 1.247526   
13/01/2009  	-0.009870702	23.18688    	11.088353   	 7.867245   
13/01/2009  	-0.008199890	23.11485    	14.295074   	 6.200709   
14/01/2009  	-0.009033673	22.88208    	 9.022442   	 9.502397   
15/01/2009  	-0.009547913	18.59792    	 6.171088   	11.156811   
16/01/2009  	-0.009613363	13.91987    	 4.713204   	11.841550   
17/01/2009  	-0.007265892	16.46709    	10.629828   	 7.927914   
18/01/2009  	 0.053288482	21.25724    	16.830089   	 4.826461   
19/01/2009  	-0.009188657	22.20628    	15.304440   	 6.115148   
20/01/2009  	-0.002709585	21.94007    	16.463882   	 5.764637   
21/01/2009  	-0.008611942	21.15340    	12.637792   	 7.910966   
22/01/2009  	-0.006445951	19.23251    	 6.780097   	11.042091   
23/01/2009  	-0.006824249	23.75227    	16.624476   	 6.274678   
24/01/2009  	19.840244293	22.87851    	21.665178   	 3.710197   
25/01/2009  	-0.008544737	22.25222    	 8.972285   	10.272992   
26/01/2009  	-0.009494840	18.99672    	 6.920166   	11.205183   
27/01/2009  	-0.008811751	19.28334    	 6.647039   	11.316564   
28/01/2009  	-0.008398623	14.89135    	 5.657769   	11.629318   
29/01/2009  	-0.008718617	15.12982    	 8.909455   	 9.375948   
30/01/2009  	11.768239975	14.32832    	13.336617   	 5.736184   
31/01/2009  	13.611654282	15.76066    	15.044942   	 4.046440   
