Date	Tmin	Tmax
05/12/2008	7.2	12.2
06/12/2008	8.9	22.2
07/12/2008	7.2	24.4
08/12/2008	14.4	27.8
09/12/2008	17.2	30.6
10/12/2008	3.9	17.2
11/12/2008	-0.6	22.2
12/12/2008	2.8	22.2
13/12/2008	6.7	25
14/12/2008	17.2	27.8
15/12/2008	6.1	28.3
16/12/2008	2.8	6.1
17/12/2008	6.1	17.2
18/12/2008	14.4	27.8
19/12/2008	18.3	28.3
20/12/2008	15.6	28.9
21/12/2008	9.4	21.7
22/12/2008	4.4	9.4
23/12/2008	4.4	23.9
24/12/2008	18.9	28.9
25/12/2008	17.2	27.2
26/12/2008	23.3	28.3
27/12/2008	17.8	30.6
28/12/2008	14.4	18.3
29/12/2008	9.4	22.8
30/12/2008	12.2	23.9
31/12/2008	14.4	26.7
