Date	Tavg
10/07/1996	22.56
12/07/1996	22.39
13/07/1996	24.33
17/07/1996	22.89
18/07/1996	23.33
19/07/1996	24.72
20/07/1996	22.06
22/07/1996	21.72
23/07/1996	22.28
24/07/1996	25.89
26/07/1996	22.17
29/07/1996	18.61
30/07/1996	17.83
01/08/1996	24.56
02/08/1996	20.28
05/08/1996	21.94
06/08/1996	23.50
07/08/1996	21.50
09/08/1996	22.78
11/08/1996	26.89
12/08/1996	23.67
14/08/1996	22.39
15/08/1996	23.61
16/08/1996	20.00
19/08/1996	22.39
21/08/1996	21.39
22/08/1996	21.00
25/08/1996	24.61
26/08/1996	25.83
28/08/1996	23.67
30/08/1996	23.39
31/08/1996	21.78
01/09/1996	24.72
03/09/1996	20.83
04/09/1996	24.61
05/09/1996	21.06
09/09/1996	22.72
10/09/1996	23.28
11/09/1996	25.50
14/09/1996	21.28
15/09/1996	21.61
16/09/1996	24.33
17/09/1996	26.17
18/09/1996	21.39
19/09/1996	24.06
21/09/1996	26.00
22/09/1996	22.06
23/09/1996	23.17
24/09/1996	24.50
26/09/1996	25.94
27/09/1996	23.11
28/09/1996	26.67
29/09/1996	25.28
30/09/1996	21.67
03/10/1996	25.50
04/10/1996	22.83
08/10/1996	22.67
13/10/1996	26.28
14/10/1996	24.06
17/10/1996	25.94
18/10/1996	26.67
22/10/1996	26.72
23/10/1996	25.22
29/10/1996	21.50
30/10/1996	26.50
31/10/1996	24.44
02/11/1996	24.72
14/11/1996	25.33
11/12/1996	23.00
17/12/1996	22.11
23/12/1996	23.56
26/12/1996	28.33
30/12/1996	25.39
31/12/1996	26.83
07/01/1997	24.39
09/01/1997	24.33
14/01/1997	22.83
15/01/1997	24.72
17/01/1997	22.78
20/01/1997	22.56
21/01/1997	22.72
23/01/1997	23.06
24/01/1997	20.06
25/01/1997	21.44
26/01/1997	22.39
27/01/1997	22.61
28/01/1997	22.94
30/01/1997	21.22
05/02/1997	22.61
06/02/1997	22.17
07/02/1997	22.94
11/02/1997	27.94
19/02/1997	24.89
25/02/1997	24.89
27/02/1997	26.72
06/03/1997	24.78
14/03/1997	25.50
17/03/1997	24.89
18/03/1997	23.89
19/03/1997	25.89
20/03/1997	23.72
21/03/1997	28.72
24/03/1997	24.17
25/03/1997	23.56
27/03/1997	22.17
29/03/1997	23.39
08/04/1997	19.33
09/04/1997	22.94
21/04/1997	19.72
22/04/1997	23.94
23/04/1997	22.67
25/04/1997	21.67
28/04/1997	23.56
29/04/1997	26.50
16/05/1997	23.28
17/05/1997	22.33
19/05/1997	25.72
20/05/1997	22.56
21/05/1997	20.61
22/05/1997	20.33
23/05/1997	21.44
24/05/1997	23.94
26/05/1997	23.78
28/05/1997	26.61
02/06/1997	21.78
05/06/1997	24.67
06/06/1997	22.67
07/06/1997	21.83
13/06/1997	20.78
16/06/1997	23.89
17/06/1997	23.78
18/06/1997	22.50
20/06/1997	23.56
21/06/1997	26.00
24/06/1997	24.83
25/06/1997	21.39
26/06/1997	26.06
28/06/1997	25.94
30/06/1997	25.11
03/07/1997	22.22
04/07/1997	25.94
07/07/1997	20.22
09/07/1997	24.72
10/07/1997	22.06
11/07/1997	20.67
15/07/1997	18.39
22/07/1997	22.06
24/07/1997	22.94
25/07/1997	22.94
26/07/1997	25.39
27/07/1997	25.22
28/07/1997	26.83
29/07/1997	23.50
30/07/1997	26.00
31/07/1997	26.22
01/08/1997	27.22
06/08/1997	27.78
09/08/1997	27.22
13/08/1997	27.89
15/08/1997	24.06
18/08/1997	23.39
21/08/1997	23.00
23/08/1997	27.39
27/08/1997	23.22
29/08/1997	25.33
30/08/1997	28.11
31/08/1997	24.78
01/09/1997	24.22
02/09/1997	24.06
08/09/1997	28.06
