Date	Tmean	Tmax	Tmin
15.4	24.8	6.3
15.7	25.2	8
12.6	24.2	8.4
11.1	17.8	6.8
9.2	19	-0.5
6.9	19.3	1.7
3.6	13	-3
4.8	16	-2.5
8.6	17	0.1
8.9	17.2	0
11.6	22.4	2.6
15.6	29.5	5.8
17.4	33	8.7
18.3	33.8	11.8
14.1	23.6	7
9.2	20.8	5
7.9	11.9	6
7.1	13	2
9.1	18	1.7
10.3	20	3
12.2	20.2	4.6
11.7	22.3	2.4
14.3	25	3.8
13.1	25.6	5.1
10.1	22.3	2
13.6	23.6	3.3
17.8	29	6.2
16.1	29.6	11.4
14.9	22.4	7
14.1	23.1	7.8
14	22.8	9.3
11.4	18.6	7
6.9	11	3
9.4	15	3.5
6.1	15.7	1.3
5.1	12	-0.1
7.8	19	-1
9.4	20	-0.1
8.9	20.3	0.4
8	18.7	0.9
6.1	17	-2.7
10.6	19	0.2
14.2	22	6.2
9.3	22.3	5.5
6.7	13.5	5
7.1	15	-0.3
7.7	19	0
12.1	24	1.2
14.7	25	6.4
15.1	26.1	5.4
17.1	27.1	8
10.8	21.5	3.9
13.6	25	5.7
12	25.2	6.5
9.4	20	1
10.3	19.7	2.9
8.3	18.2	-1.2
11.8	23	1.7
10.4	23.3	6
3.8	13.7	-2.1
7.8	14.5	2.5
10.7	18.3	0.3
11.9	19.1	2.7
14.1	17	9.3
12.8	17.2	10.6
12.3	17.8	8
10.8	18.5	8.8
12.3	19	7
13.4	21	5.3
15.9	26	6.3
17.8	26.7	7.7
17	27.7	9.8
12.5	24	0.4
9.8	19.7	1.7
15.4	21	8.4
15.8	22	9
16.8	22.9	10.9
16.6	22.3	14.4
13.7	18	8.2
13.6	21	8.3
14.8	21.6	8.7
14.9	23.4	6.4
21.7	32.6	11.7
14.8	24	11
12	16	6
8.2	16.4	1.5
9.4	15	5.5
7.9	14.4	0.6
8.6	17	1.7
13.7	24	4.2
14.5	25	4.7
19.6	27	9.8
19.3	27.3	9.9
19.6	29.2	11
18.9	29.7	14
18	28	11
13.1	28.7	11
10.1	13.8	9
15.1	22	8.1
17.4	24	10.8
13.5	23.7	9
13.5	21	5.5
16.2	25.1	10
19.1	27	11.3
21.2	27.3	12.7
20.6	30	13
21.8	33	13.9
22.2	33.7	15.2
17.1	29.5	13.7
12.1	18.8	10
11.4	17	5.6
11.4	19.2	2.9
13.6	21.3	5.8
13.6	21.7	5.3
17.9	29	10
14.9	29.3	9.8
12.3	20.4	6.4
7.9	18.1	0
11.5	19	4.2
12.1	23	2
17.6	27	6.9
17.9	29	7
16.8	29	13.3
15.2	21.3	12
13.9	22	7.5
16.2	25	9.8
22.1	29	15.6
16.2	30.5	13.9
15.9	19.5	14.3
15.7	18	14
14.2	18	12.7
13.3	18	10.6
13.3	21	5.3
15.4	24	8.9
18	27	10
20.6	29.2	10.5
19.9	30.1	13.7
18.2	25.5	11.5
17.3	26	8.9
18.2	26.3	10
20.4	30	13
17.6	30.2	16
17.9	21.6	15.8
18.2	23	14
14.1	23	6.6
16.2	24.3	7.5
18.1	26.4	11
18.4	29	10
22.6	32	13.8
24.4	33.2	17.2
23.3	30.2	17
18.2	28	10.8
20.3	28	12.3
19.8	28.7	14.2
20.7	29	12.5
23	29.3	13.5
20.1	29.6	15.5
23.9	32.2	15.4
24.3	32.4	17
24.3	33.2	14
30.8	35	16.5
22.1	35.6	18.7
15.7	24.6	12.6
19	23.6	9.6
16.9	25.3	12.3
18.9	24.7	11.5
19.9	27.1	10.9
19.8	28.4	10.6
20.3	29.1	10.9
21.3	29.7	15
19.9	29	14
22.2	31	12.9
25.7	34	16.4
26.7	36	17.2
23	36.4	17.6
19.3	25.1	16
20.2	26	13.9
21.6	29	14.5
21	29.9	12.4
24.6	33	15
21.3	33.5	15.4
20.8	31	15.4
19.9	27	17.5
18.2	24.6	12.8
24	32	16.7
24.6	32.8	18
21.1	31.5	18.1
24.1	30.3	18.4
28	36.4	21
19.7	24.2	13.9
21.2	29	14
23.8	33	15
26.6	36	20.7
23.1	36.5	14
25.7	35.6	16.7
25.1	36.2	15.6
26.1	35	16
24.4	35.5	18.5
25.7	34	17.9
21.8	34.8	16
18.3	25	12.9
23.2	29	15.4
19.7	28.8	15
20.3	26	13.9
22	28.6	15.5
25.1	32	16.8
27.6	36.4	21.9
23.3	36.7	18.8
19	26.2	12.4
18.1	26	13
20.4	30	11.3
22.6	32	13.3
25.8	36	14.2
25.1	36	21
19.9	31.5	13.9
17.2	26	7.2
21.2	30	12.7
22.4	33	14.1
20.5	33.4	17
22	28	17.5
23.9	31	16.3
20.5	31.7	18
22.7	30.3	16
25.5	33	19.8
25.9	33.4	19
