0	6.7	16.7
1	2.2	14.4
2	1.1	18.9
3	6.7	23.3
4	11.7	27.2
5	14.4	28.3
6	20.6	29.4
7	18.3	31.1
8	11.7	21.7
9	11.1	25
10	5.6	25
11	9.4	27.8
12	5	21.1
13	8.3	19.4
14	12.8	17.8
15	10.6	21.1
16	6.7	16.1
17	5	6.7
18	2.8	13.9
19	2.2	19.4
20	14.4	25.6
21	12.2	26.1
22	10.6	19.4
23	7.2	10.6
24	6.1	8.9
25	7.8	15
26	11.7	21.7
27	15.6	27.8
28	16.7	30
29	11.7	22.2
30	8.3	25.6
31	3.3	20
32	8.9	27.2
33	15.6	29.4
34	21.1	29.4
35	16.7	30.6
36	7.8	21.7
37	6.7	27.2
38	11.1	28.9
39	11.7	31.1
40	16.1	27.2
41	15.6	29.4
42	12.8	29.4
43	5.6	20.6
44	9.4	26.7
45	18.9	28.3
46	17.2	31.1
47	11.1	28.9
48	11.7	21.7
49	14.4	22.2
50	20.6	27.8
51	22.2	30.6
52	17.2	27.2
53	18.3	31.1
54	18.3	30.6
55	19.4	33.9
56	11.7	25
57	4.4	21.1
58	7.2	26.7
59	18.9	28.9
60	18.9	27.8
61	18.3	29.4
62	12.8	31.1
63	5.6	22.8
64	6.7	27.8
65	10	33.3
66	7.2	20.6
67	7.2	25
68	13.9	26.1
69	14.4	29.4
70	9.4	21.7
71	7.2	26.1
72	17.2	30
73	20	35.6
74	17.2	37.8
75	18.3	33.9
76	22.2	33.3
77	18.3	31.7
78	11.7	27.8
79	6.7	25.6
80	8.3	28.3
81	10	27.2
82	13.9	22.8
83	11.7	24.4
84	11.7	27.2
85	20.6	29.4
86	20	30.6
87	21.1	29.4
88	21.7	30
89	22.8	32.2
90	22.8	31.7
91	22.8	31.7
92	22.2	32.8
93	22.8	32.2
94	18.9	35
95	15.6	27.8
96	14.4	32.8
97	20	33.3
98	22.2	33.9
99	23.9	33.3
100	25	37.2
101	22.2	32.2
102	15.6	27.8
103	11.1	28.9
104	10.6	26.7
105	9.4	27.2
106	16.7	30
107	20.6	30.6
108	12.8	27.2
109	11.1	28.9
110	20.6	32.2
111	22.8	30.6
112	22.2	34.4
113	24.4	33.9
114	23.9	33.9
115	23.9	30.6
116	21.1	30.6
117	16.7	31.7
118	12.8	25.6
119	11.1	27.2
120	15	31.1
121	23.3	32.8
122	24.4	34.4
123	23.9	31.1
124	21.7	32.8
125	24.4	32.2
126	23.9	33.3
127	24.4	33.3
128	20.6	36.1
129	23.3	33.9
130	24.4	35.6
131	24.4	32.2
132	21.1	32.8
133	25.6	35
134	26.1	33.3
135	24.4	34.4
136	19.4	27.8
137	20	27.8
138	17.8	32.8
139	18.9	34.4
140	23.3	35
141	25	33.9
142	26.1	35
143	25.6	36.1
144	25	35.6
145	26.7	33.9
146	26.1	33.9
147	23.9	33.9
148	21.7	33.3
149	20.6	33.3
150	21.1	33.9
151	21.1	35
152	21.1	35.6
153	22.8	35.6
154	23.3	35.6
155	25.6	35.6
156	26.1	35.6
157	26.1	35.6
158	23.9	32.8
159	24.4	35
160	23.3	35
161	24.4	35
162	22.8	35.6
163	22.2	36.1
164	23.9	35.6
165	23.3	35.6
166	23.3	36.7
167	23.3	36.1
168	22.8	36.7
169	22.2	37.2
170	22.8	37.2
171	21.7	36.1
172	22.2	35
173	22.8	35
174	21.1	35.6
175	21.7	33.3
176	23.3	36.1
177	23.9	35.6
178	23.3	36.1
179	23.9	34.4
180	23.9	35.6
181	22.2	35.6
182	22.8	33.9
183	24.4	32.2
184	23.9	32.2
185	22.2	26.7
186	21.7	27.2
187	22.8	30.6
188	23.3	26.7
189	23.3	30
190	23.3	33.3
191	23.3	32.8
192	23.9	33.9
193	22.8	33.9
194	23.9	33.9
195	23.9	34.4
196	23.9	34.4
197	23.9	34.4
198	23.3	33.9
199	23.3	33.3
200	22.2	33.9
201	23.3	33.9
202	21.7	35
203	22.8	33.3
204	22.8	25
205	26.7	36.1
206	25.6	31.7
207	22.8	32.2
208	23.9	28.9
209	23.9	31.7
210	25	32.8
211	24.4	33.3
212	26.1	33.9
213	25.6	33.9
214	25	33.9
215	23.9	34.4
216	22.8	35.6
217	24.4	35
218	25	35
219	25	35
220	23.3	35.6
221	23.3	35.6
222	25.6	35.6
223	25.6	35.6
224	26.1	36.1
225	25.6	35.6
226	22.8	35
227	25.6	33.9
228	27.8	32.8
229	25.6	31.7
230	23.9	32.2
231	23.9	32.8
232	23.9	33.3
233	25	33.3
234	26.1	31.7
235	25.6	32.8
236	23.3	30
237	21.7	30
238	23.9	32.2
239	24.4	33.9
240	24.4	33.3
241	24.4	33.3
242	24.4	32.8
243	23.9	33.3
244	22.2	35
245	23.9	36.7
246	24.4	36.7
247	24.4	33.9
248	25	32.2
249	23.9	32.8
250	24.4	33.9
251	23.3	29.4
252	23.9	32.2
253	23.9	32.8
254	23.9	33.3
255	25	33.3
256	27.2	35
257	24.4	32.8
258	21.1	25.6
259	18.3	27.2
260	16.7	28.9
261	18.3	29.4
262	19.4	30.6
263	20	31.7
264	21.7	30.6
265	23.3	27.8
266	22.8	30.6
267	21.7	25.6
268	18.9	30
269	17.2	30
270	16.7	30.6
271	17.2	30
272	16.7	30
273	16.7	32.2
274	17.2	33.9
275	18.3	31.1
276	16.7	31.7
277	18.3	32.2
278	21.1	31.7
279	22.2	33.3
280	22.2	33.9
281	16.1	30.6
282	13.3	30.6
283	16.7	32.2
284	21.1	32.2
285	24.4	31.1
286	23.3	31.1
287	20.6	32.2
288	22.2	30
289	19.4	23.9
290	19.4	28.9
